target_layer,transfer_auroc
0,0.5525934188510876
1,0.5402398215281651
2,0.5029001673173452
3,0.49893102807213235
4,0.5043270124558468
5,0.492884365123629
6,0.4815718535043688
7,0.49635155233314737
8,0.5018916155419223
9,0.47891336679680235
10,0.48554099274958173
11,0.5077988473693995
12,0.49550102249488753
13,0.5104433909648634
14,0.5148215281650864
15,0.5134969325153375
16,0.5168711656441718
17,0.5081427774679308
18,0.5342163970998327
19,0.5094069529652352
20,0.5122048707938278
21,0.52769566833984
22,0.5183305447109128
23,0.5576315300241681
24,0.5411693623350065
25,0.5169734151329243
26,0.4991169362335007
27,0.48630786391522596
28,0.4556376649934933
29,0.4782952221602529
30,0.4998698642870422
31,0.5022727272727273
32,0.46620189626324593
